0,1398,105017,3,13311.36989,39653,105017,369,105023,330,369,105023,345.6,432,349.5,-1,349.5,330,17,0
0,750,1,1,750000000,34181,1,375,1,375,375,1,375,562.5,375,-1,375,375,17,0
0,0,99,0,0,12187,1,0,101,0,0,1,0,0,0,5840,0,0,6,1
0,802,1,1,802000000,50534,1,401,1,401,401,1,401,601.5,401,-1,401,401,17,0
0,2944,3,1,981000000,672,3,1472,3,1472,1472,3,1472,2208,1472,-1,1472,1472,17,0
0,1398,107748,3,12974.47796,47220,107748,369,107750,330,369,107750,345.6,432,349.5,-1,349.5,330,17,0
0,1438,106739,3,13466.18471,55507,106739,389,106786,330,389,106786,353.6,442,359.5,-1,359.5,330,17,0
0,802,2,1,401000000,57801,2,401,2,401,401,2,401,601.5,401,-1,401,401,17,0
0,0,1,0,0,41475,1,0,1,0,0,1,0,0,0,5840,0,0,6,1
23738653,0,23738653,0,0,46478,23738653,0,104874555,0,0,104874555,0,0,0,5840,0,0,6,1
